Media Source,Campaign,Campaign Id,Cohort Day,Users,Cost,Average eCPI,retention day1 ,retention day1 percent,roas - Rate - day 0 - partial,roas - Rate - day 1 - partial,roas - Rate - day 2 - partial,roas - Rate - day 3 - partial,roas - Rate - day 4 - partial,roas - Rate - day 5 - partial,roas - Rate - day 6 - partial,roas - Rate - day 7 - partial,roas - Rate - day 8 - partial,roas - Rate - day 9 - partial,roas - Rate - day 10 - partial,roas - Rate - day 11 - partial,roas - Rate - day 12 - partial,roas - Rate - day 13 - partial,roas - Rate - day 14 - partial,roas - Rate - day 15 - partial,roas - Rate - day 16 - partial,roas - Rate - day 17 - partial,roas - Rate - day 18 - partial,roas - Rate - day 19 - partial,roas - Rate - day 20 - partial,roas - Rate - day 21 - partial,roas - Rate - day 22 - partial,roas - Rate - day 23 - partial,roas - Rate - day 24 - partial,roas - Rate - day 25 - partial,roas - Rate - day 26 - partial,roas - Rate - day 27 - partial,roas - Rate - day 28 - partial,revenue - sum - day 0 - partial,revenue - sum - day 1 - partial,revenue - sum - day 2 - partial,revenue - sum - day 3 - partial,revenue - sum - day 4 - partial,revenue - sum - day 5 - partial,revenue - sum - day 6 - partial,revenue - sum - day 7 - partial,revenue - sum - day 8 - partial,revenue - sum - day 9 - partial,revenue - sum - day 10 - partial,revenue - sum - day 11 - partial,revenue - sum - day 12 - partial,revenue - sum - day 13 - partial,revenue - sum - day 14 - partial,revenue - sum - day 15 - partial,revenue - sum - day 16 - partial,revenue - sum - day 17 - partial,revenue - sum - day 18 - partial,revenue - sum - day 19 - partial,revenue - sum - day 20 - partial,revenue - sum - day 21 - partial,revenue - sum - day 22 - partial,revenue - sum - day 23 - partial,revenue - sum - day 24 - partial,revenue - sum - day 25 - partial,revenue - sum - day 26 - partial,revenue - sum - day 27 - partial,revenue - sum - day 28 - partial
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131,2.3853613270300404e+16,2023-02-09,468,67.66,0.14,253,54.06%,37.22,50.1,56.25,60.38,64.76,67.71,69.69,71.55,73.5,75.23,76.74,79.18,80.21,81.54,82.72,83.57,84.48,85.33,86.08,86.59,87.03,87.96,88.42,89.02,90.23,91.26,92.3,92.3,92.3,25.18,33.89,38.06,40.85,43.82,45.82,47.15,48.41,49.73,50.9,51.92,53.58,54.27,55.17,55.97,56.54,57.16,57.73,58.24,58.59,58.89,59.52,59.82,60.23,61.05,61.75,62.45,62.45,62.45
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131,2.3853613270300404e+16,2023-02-10,383,55.13,0.14,119,31.07%,25.38,31.72,34.76,38.17,41.07,42.15,42.59,42.92,43.09,43.24,43.48,43.56,43.71,43.9,44.09,44.26,44.38,44.48,44.85,44.91,45.11,45.17,45.24,45.47,45.81,46.0,46.0,46.0,46.0,13.99,17.49,19.16,21.04,22.64,23.24,23.48,23.66,23.75,23.84,23.97,24.01,24.1,24.2,24.31,24.4,24.47,24.52,24.73,24.76,24.87,24.9,24.94,25.07,25.25,25.36,25.36,25.36,25.36
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131,2.3853613270300404e+16,2023-02-11,262,42.28,0.16,69,26.34%,25.34,31.32,35.64,37.3,37.72,38.48,39.14,39.36,39.82,39.99,40.07,40.1,40.48,40.96,41.11,41.13,41.52,41.81,42.36,42.67,43.1,43.49,43.82,43.94,44.06,44.06,44.06,44.06,44.06,10.71,13.24,15.07,15.77,15.95,16.27,16.55,16.64,16.84,16.91,16.94,16.95,17.12,17.32,17.38,17.39,17.56,17.68,17.91,18.04,18.22,18.39,18.53,18.58,18.63,18.63,18.63,18.63,18.63
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131,2.3853613270300404e+16,2023-02-12,234,40.84,0.17,71,30.34%,17.63,22.46,25.79,26.9,27.73,29.19,30.22,30.68,31.04,31.13,31.41,31.7,32.27,32.97,33.57,33.75,34.07,34.27,34.39,34.58,35.09,35.96,36.51,37.29,37.29,37.29,37.29,37.29,37.29,7.2,9.17,10.53,10.99,11.33,11.92,12.34,12.53,12.68,12.71,12.83,12.95,13.18,13.46,13.71,13.78,13.91,14.0,14.05,14.12,14.33,14.69,14.91,15.23,15.23,15.23,15.23,15.23,15.23
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131,2.3853613270300404e+16,2023-02-13,47,4.17,0.09,19,40.43%,16.93,19.99,22.05,31.33,36.9,43.56,51.05,51.05,51.28,51.95,52.16,52.25,52.94,54.5,54.84,55.62,56.11,56.43,56.72,57.14,57.65,58.46,59.69,59.69,59.69,59.69,59.69,59.69,59.69,0.71,0.83,0.92,1.31,1.54,1.82,2.13,2.13,2.14,2.17,2.17,2.18,2.21,2.27,2.29,2.32,2.34,2.35,2.37,2.38,2.4,2.44,2.49,2.49,2.49,2.49,2.49,2.49,2.49
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131,2.3853613270300404e+16,2023-02-14,14,0.6,0.04,7,50.0%,51.43,67.18,72.01,75.63,78.86,84.02,93.58,105.42,105.42,110.58,111.67,112.13,112.77,113.52,115.13,116.35,116.92,129.37,130.7,133.31,153.56,157.56,157.56,157.56,157.56,157.56,157.56,157.56,157.56,0.31,0.4,0.43,0.45,0.47,0.5,0.56,0.63,0.63,0.66,0.67,0.67,0.68,0.68,0.69,0.7,0.7,0.78,0.78,0.8,0.92,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131,2.3853613270300404e+16,2023-02-15,2,0.0,0.0,1,50.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131,2.3853613270300404e+16,2023-02-16,1,,,1,100.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.05,0.06,0.07,0.08,0.09,0.12,0.14,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy,2.3853623887190404e+16,2023-02-09,128,18.38,0.14,39,30.47%,25.69,36.11,46.19,50.77,54.62,57.61,61.05,63.2,65.66,68.18,68.71,70.02,70.37,73.34,74.7,76.3,77.88,79.74,81.31,82.21,82.78,83.18,84.27,84.98,85.97,87.18,88.9,88.9,88.9,4.72,6.64,8.49,9.33,10.04,10.59,11.22,11.62,12.07,12.53,12.63,12.87,12.93,13.48,13.73,14.02,14.31,14.66,14.95,15.11,15.21,15.29,15.49,15.62,15.8,16.02,16.34,16.34,16.34
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy,2.3853623887190404e+16,2023-02-10,27,7.52,0.28,14,51.85%,9.95,12.13,12.82,12.97,13.38,13.69,13.73,13.78,13.84,13.87,13.87,13.87,13.87,14.05,14.16,14.29,14.42,14.57,14.74,14.86,15.01,15.2,15.44,15.93,16.67,17.2,17.2,17.2,17.2,0.75,0.91,0.96,0.98,1.01,1.03,1.03,1.04,1.04,1.04,1.04,1.04,1.04,1.06,1.06,1.07,1.08,1.1,1.11,1.12,1.13,1.14,1.16,1.2,1.25,1.29,1.29,1.29,1.29
