Media Source,Campaign,Campaign Id,Cohort Day,Users,retention,Cost,Average eCPI,sessions - Unique users - day 1,sessions - Unique users - day 2,sessions - Unique users - day 3,sessions - Unique users - day 4,sessions - Unique users - day 5,sessions - Unique users - day 6,sessions - Unique users - day 7,sessions - Unique users - day 8,sessions - Unique users - day 9,sessions - Unique users - day 10,sessions - Unique users - day 11,sessions - Unique users - day 12,sessions - Unique users - day 13,sessions - Unique users - day 14,sessions - Unique users - day 15,sessions - Unique users - day 16,sessions - Unique users - day 17,sessions - Unique users - day 18,sessions - Unique users - day 19,sessions - Unique users - day 20,sessions - Unique users - day 21 - partial,sessions - Unique users - day 22 - partial,sessions - Unique users - day 23 - partial,sessions - Unique users - day 24 - partial,sessions - Unique users - day 25 - partial,sessions - Unique users - day 26 - partial,sessions - Unique users - day 27 - partial,sessions - Unique users - day 28 - partial,retention2
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131,2.3853613270300404e+16,2023-02-08,439,5444.0,69.37,0.16,239,165,130,114,100,89,80,74,70,64,61,53,53,49,45,44,41,36,33,33,33,32,34,33,30,30,29,30,239(54.44%)
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131,2.3853613270300404e+16,2023-02-09,468,5406.0,67.66,0.14,253,159,125,108,95,87,82,74,67,67,61,57,52,54,49,47,45,40,41,37,37,36,35,35,35,33,32,0,253(54.06%)
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131,2.3853613270300404e+16,2023-02-10,383,3107.0,55.13,0.14,119,62,47,33,29,27,20,19,18,17,17,15,14,12,13,11,13,11,8,7,6,6,5,8,6,6,0,0,119(31.07%)
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131,2.3853613270300404e+16,2023-02-11,262,2634.0,42.28,0.16,69,31,23,13,9,7,7,4,2,2,3,3,4,3,3,3,3,3,2,2,2,2,2,2,2,0,0,0,69(26.34%)
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131,2.3853613270300404e+16,2023-02-12,234,3034.0,40.84,0.17,71,43,33,24,21,19,15,13,13,12,11,9,9,9,8,8,8,10,10,8,9,9,8,9,0,0,0,0,71(30.34%)
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131,2.3853613270300404e+16,2023-02-13,47,4043.0,4.17,0.09,19,13,11,7,6,7,7,6,8,4,2,4,4,4,2,2,3,3,2,1,3,2,2,0,0,0,0,0,19(40.43%)
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131,2.3853613270300404e+16,2023-02-14,14,5000.0,0.6,0.04,7,6,6,5,5,5,5,4,3,3,2,1,2,2,2,2,2,2,2,1,2,2,0,0,0,0,0,0,7(50.0%)
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131,2.3853613270300404e+16,2023-02-15,2,5000.0,0.0,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1(50.0%)
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy,2.3853623887190404e+16,2023-02-08,142,3451.0,22.97,0.16,49,27,23,16,14,11,10,10,11,10,9,9,9,8,7,7,7,8,6,6,5,4,4,4,3,3,3,2,49(34.51%)
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy,2.3853623887190404e+16,2023-02-09,128,3047.0,18.38,0.14,39,28,24,25,19,17,17,16,15,15,13,11,10,9,10,10,9,9,8,8,7,8,8,7,6,8,8,0,39(30.47%)
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy,2.3853623887190404e+16,2023-02-10,27,5185.0,7.52,0.28,14,8,7,6,5,5,4,3,3,3,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,0,0,14(51.85%)
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy,2.3853623887190404e+16,2023-02-11,1,10000.0,0.0,0.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1(100.0%)
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy,2.3853623887190404e+16,2023-02-12,1,10000.0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1(100.0%)
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy,2.3853623887190404e+16,2023-02-13,1,10000.0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1(100.0%)
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy,2.3853623887190404e+16,2023-02-14,1,10000.0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1(100.0%)
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy 3,2.3853733866640404e+16,2023-02-10,54,3333.0,10.9,0.2,18,9,5,4,3,4,3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,18(33.33%)
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy 3,2.3853733866640404e+16,2023-02-11,197,4721.0,33.24,0.17,93,56,43,30,26,26,26,25,21,20,20,18,18,16,16,17,15,13,14,13,13,11,11,10,9,0,0,0,93(47.21%)
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy 3,2.3853733866640404e+16,2023-02-12,181,5304.0,30.99,0.17,96,65,53,49,40,28,26,24,17,15,13,13,13,13,9,10,9,10,9,9,9,9,10,9,0,0,0,0,96(53.04%)
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy 3,2.3853733866640404e+16,2023-02-13,240,4542.0,31.85,0.13,109,71,55,47,41,40,32,32,29,28,28,28,27,24,21,20,18,16,15,16,15,15,15,0,0,0,0,0,109(45.42%)
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy 3,2.3853733866640404e+16,2023-02-14,199,5879.0,21.43,0.11,117,76,59,49,44,39,29,26,26,24,22,22,21,20,20,19,19,16,16,14,14,11,0,0,0,0,0,0,117(58.79%)
