Media Source,Campaign,Campaign Id,Cohort Day,Users,Cost,Average eCPI,revenue - sum - day 0 - partial,revenue - sum - day 1 - partial,revenue - sum - day 2 - partial,revenue - sum - day 3 - partial,revenue - sum - day 4 - partial,revenue - sum - day 5 - partial,revenue - sum - day 6 - partial,revenue - sum - day 7 - partial,revenue - sum - day 8 - partial,revenue - sum - day 9 - partial,revenue - sum - day 10 - partial,revenue - sum - day 11 - partial,revenue - sum - day 12 - partial,revenue - sum - day 13 - partial,revenue - sum - day 14 - partial,revenue - sum - day 15 - partial,revenue - sum - day 16 - partial,revenue - sum - day 17 - partial,revenue - sum - day 18 - partial,revenue - sum - day 19 - partial,revenue - sum - day 20 - partial,revenue - sum - day 21 - partial,revenue - sum - day 22 - partial,revenue - sum - day 23 - partial,revenue - sum - day 24 - partial,revenue - sum - day 25 - partial,revenue - sum - day 26 - partial,revenue - sum - day 27 - partial,revenue - sum - day 28 - partial
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131,2.3853613270300404e+16,2023-02-09,468,67.66,0.14,25.18,33.89,38.06,40.85,43.82,45.82,47.15,48.41,49.73,50.9,51.92,53.58,54.27,55.17,55.97,56.54,57.16,57.73,58.24,58.59,58.89,59.52,59.82,60.23,61.05,61.75,62.45,62.45,62.45
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131,2.3853613270300404e+16,2023-02-10,383,55.13,0.14,13.99,17.49,19.16,21.04,22.64,23.24,23.48,23.66,23.75,23.84,23.97,24.01,24.1,24.2,24.31,24.4,24.47,24.52,24.73,24.76,24.87,24.9,24.94,25.07,25.25,25.36,25.36,25.36,25.36
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131,2.3853613270300404e+16,2023-02-11,262,42.28,0.16,10.71,13.24,15.07,15.77,15.95,16.27,16.55,16.64,16.84,16.91,16.94,16.95,17.12,17.32,17.38,17.39,17.56,17.68,17.91,18.04,18.22,18.39,18.53,18.58,18.63,18.63,18.63,18.63,18.63
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131,2.3853613270300404e+16,2023-02-12,234,40.84,0.17,7.2,9.17,10.53,10.99,11.33,11.92,12.34,12.53,12.68,12.71,12.83,12.95,13.18,13.46,13.71,13.78,13.91,14.0,14.05,14.12,14.33,14.69,14.91,15.23,15.23,15.23,15.23,15.23,15.23
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131,2.3853613270300404e+16,2023-02-13,47,4.17,0.09,0.71,0.83,0.92,1.31,1.54,1.82,2.13,2.13,2.14,2.17,2.17,2.18,2.21,2.27,2.29,2.32,2.34,2.35,2.37,2.38,2.4,2.44,2.49,2.49,2.49,2.49,2.49,2.49,2.49
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131,2.3853613270300404e+16,2023-02-14,14,0.6,0.04,0.31,0.4,0.43,0.45,0.47,0.5,0.56,0.63,0.63,0.66,0.67,0.67,0.68,0.68,0.69,0.7,0.7,0.78,0.78,0.8,0.92,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131,2.3853613270300404e+16,2023-02-15,2,0.0,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131,2.3853613270300404e+16,2023-02-16,1,,,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.05,0.06,0.07,0.08,0.09,0.12,0.14,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy,2.3853623887190404e+16,2023-02-09,128,18.38,0.14,4.72,6.64,8.49,9.33,10.04,10.59,11.22,11.62,12.07,12.53,12.63,12.87,12.93,13.48,13.73,14.02,14.31,14.66,14.95,15.11,15.21,15.29,15.49,15.62,15.8,16.02,16.34,16.34,16.34
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy,2.3853623887190404e+16,2023-02-10,27,7.52,0.28,0.75,0.91,0.96,0.98,1.01,1.03,1.03,1.04,1.04,1.04,1.04,1.04,1.04,1.06,1.06,1.07,1.08,1.1,1.11,1.12,1.13,1.14,1.16,1.2,1.25,1.29,1.29,1.29,1.29
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy,2.3853623887190404e+16,2023-02-11,1,0.0,0.0,0.19,0.19,0.19,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy,2.3853623887190404e+16,2023-02-12,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy,2.3853623887190404e+16,2023-02-13,1,,,0.13,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy,2.3853623887190404e+16,2023-02-14,1,,,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy 3,2.3853733866640404e+16,2023-02-10,54,10.9,0.2,3.56,4.15,4.21,4.36,4.73,4.89,4.95,5.07,5.07,5.09,5.09,5.12,5.12,5.14,5.15,5.2,5.2,5.2,5.21,5.22,5.22,5.23,5.24,5.25,5.26,5.27,5.27,5.27,5.27
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy 3,2.3853733866640404e+16,2023-02-11,197,33.24,0.17,6.79,8.7,9.92,10.64,10.91,11.13,11.52,11.71,11.82,12.0,12.11,12.29,12.56,12.88,13.04,13.24,13.52,13.65,13.79,13.91,14.06,14.17,14.41,14.54,14.69,14.69,14.69,14.69,14.69
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy 3,2.3853733866640404e+16,2023-02-12,181,30.99,0.17,7.36,10.1,11.8,13.33,14.66,15.3,15.68,15.79,16.08,16.34,16.6,16.8,16.93,17.05,17.31,17.44,17.64,17.87,18.13,18.4,18.62,18.79,18.98,19.25,19.25,19.25,19.25,19.25,19.25
