Media Source,Campaign,Campaign Id,Cohort Day,Users,Cost,Average eCPI,roas - Rate - day 0 - partial,roas - Rate - day 1 - partial,roas - Rate - day 2 - partial,roas - Rate - day 3 - partial,roas - Rate - day 4 - partial,roas - Rate - day 5 - partial,roas - Rate - day 6 - partial,roas - Rate - day 7 - partial,roas - Rate - day 8 - partial,roas - Rate - day 9 - partial,roas - Rate - day 10 - partial,roas - Rate - day 11 - partial,roas - Rate - day 12 - partial,roas - Rate - day 13 - partial,roas - Rate - day 14 - partial,roas - Rate - day 15 - partial,roas - Rate - day 16 - partial,roas - Rate - day 17 - partial,roas - Rate - day 18 - partial,roas - Rate - day 19 - partial,roas - Rate - day 20 - partial,roas - Rate - day 21 - partial,roas - Rate - day 22 - partial,roas - Rate - day 23 - partial,roas - Rate - day 24 - partial,roas - Rate - day 25 - partial,roas - Rate - day 26 - partial,roas - Rate - day 27 - partial,roas - Rate - day 28 - partial
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131,2.3853613270300404e+16,2023-02-09,468,67.66,0.14,37.22,50.1,56.25,60.38,64.76,67.71,69.69,71.55,73.5,75.23,76.74,79.18,80.21,81.54,82.72,83.57,84.48,85.33,86.08,86.59,87.03,87.96,88.42,89.02,90.23,91.26,92.3,92.3,92.3
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131,2.3853613270300404e+16,2023-02-10,383,55.13,0.14,25.38,31.72,34.76,38.17,41.07,42.15,42.59,42.92,43.09,43.24,43.48,43.56,43.71,43.9,44.09,44.26,44.38,44.48,44.85,44.91,45.11,45.17,45.24,45.47,45.81,46.0,46.0,46.0,46.0
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131,2.3853613270300404e+16,2023-02-11,262,42.28,0.16,25.34,31.32,35.64,37.3,37.72,38.48,39.14,39.36,39.82,39.99,40.07,40.1,40.48,40.96,41.11,41.13,41.52,41.81,42.36,42.67,43.1,43.49,43.82,43.94,44.06,44.06,44.06,44.06,44.06
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131,2.3853613270300404e+16,2023-02-12,234,40.84,0.17,17.63,22.46,25.79,26.9,27.73,29.19,30.22,30.68,31.04,31.13,31.41,31.7,32.27,32.97,33.57,33.75,34.07,34.27,34.39,34.58,35.09,35.96,36.51,37.29,37.29,37.29,37.29,37.29,37.29
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131,2.3853613270300404e+16,2023-02-13,47,4.17,0.09,16.93,19.99,22.05,31.33,36.9,43.56,51.05,51.05,51.28,51.95,52.16,52.25,52.94,54.5,54.84,55.62,56.11,56.43,56.72,57.14,57.65,58.46,59.69,59.69,59.69,59.69,59.69,59.69,59.69
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131,2.3853613270300404e+16,2023-02-14,14,0.6,0.04,51.43,67.18,72.01,75.63,78.86,84.02,93.58,105.42,105.42,110.58,111.67,112.13,112.77,113.52,115.13,116.35,116.92,129.37,130.7,133.31,153.56,157.56,157.56,157.56,157.56,157.56,157.56,157.56,157.56
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131,2.3853613270300404e+16,2023-02-15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131,2.3853613270300404e+16,2023-02-16,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy,2.3853623887190404e+16,2023-02-09,128,18.38,0.14,25.69,36.11,46.19,50.77,54.62,57.61,61.05,63.2,65.66,68.18,68.71,70.02,70.37,73.34,74.7,76.3,77.88,79.74,81.31,82.21,82.78,83.18,84.27,84.98,85.97,87.18,88.9,88.9,88.9
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy,2.3853623887190404e+16,2023-02-10,27,7.52,0.28,9.95,12.13,12.82,12.97,13.38,13.69,13.73,13.78,13.84,13.87,13.87,13.87,13.87,14.05,14.16,14.29,14.42,14.57,14.74,14.86,15.01,15.2,15.44,15.93,16.67,17.2,17.2,17.2,17.2
