Media Source,Campaign,Campaign Id,Cohort Day,Users,Cost,Average eCPI,revenue - sum - day 0,revenue - sum - day 1,revenue - sum - day 2,revenue - sum - day 3,revenue - sum - day 4,revenue - sum - day 5,revenue - sum - day 6,revenue - sum - day 7,revenue - sum - day 8,revenue - sum - day 9,revenue - sum - day 10,revenue - sum - day 11,revenue - sum - day 12,revenue - sum - day 13,revenue - sum - day 14,revenue - sum - day 15,revenue - sum - day 16,revenue - sum - day 17,revenue - sum - day 18,revenue - sum - day 19,revenue - sum - day 20,revenue - sum - day 21 - partial,revenue - sum - day 22 - partial,revenue - sum - day 23 - partial,revenue - sum - day 24 - partial,revenue - sum - day 25 - partial,revenue - sum - day 26 - partial,revenue - sum - day 27 - partial,revenue - sum - day 28 - partial
Facebook Ads,youdaozhixuan_Liveme_FB__PH_01_aaa_page002_ys_0210_,2.385248167094053e+16,2023-02-14,1394,98.1,0.07,46.16,58.87,64.78,68.87,71.52,73.62,75.65,77.4,78.83,80.54,82.24,83.71,85.08,86.33,87.62,88.71,89.8,90.9,91.57,92.71,93.71,93.71,93.71,93.71,93.71,93.71,93.71,93.71,93.71
Facebook Ads,youdaozhixuan_Liveme_FB__PH_01_aaa_page002_ys_0210_,2.385248167094053e+16,2023-02-13,1387,99.48,0.07,46.14,58.25,63.43,67.31,70.01,72.18,74.07,75.5,77.12,78.13,79.72,80.98,82.33,83.78,85.0,86.0,86.89,87.76,88.73,89.66,90.72,91.92,91.92,91.92,91.92,91.92,91.92,91.92,91.92
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-02-13,1268,101.47,0.08,38.37,47.34,51.02,53.85,56.32,59.2,60.17,60.85,61.48,62.12,62.89,63.78,64.41,65.14,65.86,66.31,66.9,67.41,67.77,68.2,69.16,70.09,70.09,70.09,70.09,70.09,70.09,70.09,70.09
Facebook Ads,youdaozhixuan_Liveme_FB__PH_01_aaa_page002_ys_0210_,2.385248167094053e+16,2023-02-15,1264,97.64,0.08,41.81,51.63,57.85,61.42,64.4,66.47,68.3,70.05,72.05,73.76,75.65,76.98,78.53,80.05,81.08,82.1,83.16,84.17,85.42,86.55,86.55,86.55,86.55,86.55,86.55,86.55,86.55,86.55,86.55
Facebook Ads,youdaozhixuan_Liveme_FB__PH_01_aaa_page002_ys_0210_,2.385248167094053e+16,2023-02-11,1245,85.06,0.07,44.03,53.28,58.04,62.35,65.23,67.48,69.13,70.41,71.62,73.1,74.38,75.28,76.32,77.22,78.44,79.32,80.34,81.54,82.37,83.26,84.13,85.0,85.83,86.92,86.92,86.92,86.92,86.92,86.92
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-02-11,1234,106.17,0.09,40.83,48.52,53.22,56.77,59.25,60.57,61.69,62.45,63.0,63.5,63.97,64.32,64.96,65.71,66.23,66.76,67.31,67.85,68.4,68.88,69.23,69.67,70.35,71.04,71.04,71.04,71.04,71.04,71.04
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-02-10,1199,106.58,0.09,48.68,57.57,62.23,65.71,69.09,72.56,74.37,75.68,77.04,77.76,78.5,79.15,79.64,80.27,81.09,82.37,83.14,83.68,84.29,85.03,85.68,86.23,87.22,88.0,88.79,88.79,88.79,88.79,88.79
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-02-15,1182,97.94,0.08,45.14,54.77,60.87,64.91,68.12,70.44,72.74,74.8,76.29,78.23,80.77,82.3,83.81,85.23,86.32,87.01,87.99,89.08,90.37,91.65,91.65,91.65,91.65,91.65,91.65,91.65,91.65,91.65,91.65
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-02-12,1108,101.49,0.09,37.68,46.32,51.22,53.9,56.53,58.66,60.75,61.39,62.15,62.88,63.58,64.42,65.31,66.11,66.77,67.32,67.9,68.44,68.87,69.45,69.78,70.69,71.35,71.35,71.35,71.35,71.35,71.35,71.35
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-02-14,1090,101.66,0.09,42.59,50.84,54.88,57.6,60.59,62.15,63.47,64.44,65.01,65.97,66.84,67.72,68.99,69.69,70.47,71.25,71.88,72.55,73.5,74.38,75.11,75.11,75.11,75.11,75.11,75.11,75.11,75.11,75.11
