Media Source,Campaign,Campaign Id,Cohort Day,Users,Cost,Average eCPI,new_column,roas - Rate - day 0,roas - Rate - day 1,roas - Rate - day 2,roas - Rate - day 3,roas - Rate - day 4,roas - Rate - day 5,roas - Rate - day 6,roas - Rate - day 7,roas - Rate - day 8,roas - Rate - day 9,roas - Rate - day 10,roas - Rate - day 11,roas - Rate - day 12,roas - Rate - day 13,roas - Rate - day 14,roas - Rate - day 15,roas - Rate - day 16,roas - Rate - day 17,roas - Rate - day 18,roas - Rate - day 19,roas - Rate - day 20,roas - Rate - day 21 - partial,roas - Rate - day 22 - partial,roas - Rate - day 23 - partial,roas - Rate - day 24 - partial,roas - Rate - day 25 - partial,roas - Rate - day 26 - partial,roas - Rate - day 27 - partial,roas - Rate - day 28 - partial
Facebook Ads,youdaozhixuan_Liveme_FB__PH_01_aaa_page002_ys_0210_,2.385248167094053e+16,2023-02-14,1394,98.1,0.07,324,47.06,60.01,66.04,70.21,72.91,75.05,77.12,78.9,80.36,82.1,83.83,85.33,86.72,88.0,89.32,90.43,91.54,92.66,93.34,94.51,95.52,95.52,95.52,95.52,95.52,95.52,95.52,95.52,95.52
Facebook Ads,youdaozhixuan_Liveme_FB__PH_01_aaa_page002_ys_0210_,2.385248167094053e+16,2023-02-13,1387,99.48,0.07,352,46.38,58.55,63.76,67.66,70.38,72.56,74.46,75.9,77.53,78.54,80.13,81.4,82.76,84.22,85.44,86.45,87.34,88.21,89.19,90.13,91.2,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-02-13,1268,101.47,0.08,247,37.81,46.66,50.29,53.07,55.51,58.34,59.3,59.96,60.59,61.22,61.98,62.85,63.47,64.19,64.9,65.34,65.93,66.44,66.79,67.22,68.16,69.07,69.07,69.07,69.07,69.07,69.07,69.07,69.07
Facebook Ads,youdaozhixuan_Liveme_FB__PH_01_aaa_page002_ys_0210_,2.385248167094053e+16,2023-02-15,1264,97.64,0.08,316,42.82,52.87,59.24,62.9,65.96,68.07,69.95,71.75,73.79,75.54,77.48,78.84,80.43,81.98,83.04,84.08,85.17,86.2,87.48,88.64,88.64,88.64,88.64,88.64,88.64,88.64,88.64,88.64,88.64
Facebook Ads,youdaozhixuan_Liveme_FB__PH_01_aaa_page002_ys_0210_,2.385248167094053e+16,2023-02-11,1245,85.06,0.07,287,51.77,62.64,68.23,73.31,76.69,79.33,81.27,82.78,84.19,85.94,87.44,88.5,89.73,90.79,92.22,93.25,94.45,95.86,96.83,97.89,98.91,99.92,100.91,102.19,102.19,102.19,102.19,102.19,102.19
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-02-11,1234,106.17,0.09,206,38.46,45.7,50.13,53.47,55.81,57.05,58.1,58.82,59.34,59.81,60.25,60.58,61.19,61.89,62.38,62.88,63.4,63.91,64.43,64.87,65.21,65.62,66.27,66.91,66.91,66.91,66.91,66.91,66.91
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-02-10,1199,106.58,0.09,256,45.68,54.02,58.38,61.65,64.83,68.08,69.78,71.01,72.29,72.96,73.65,74.27,74.72,75.32,76.09,77.29,78.01,78.52,79.08,79.78,80.39,80.9,81.84,82.57,83.31,83.31,83.31,83.31,83.31
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-02-15,1182,97.94,0.08,268,46.09,55.92,62.15,66.28,69.56,71.92,74.27,76.38,77.89,79.88,82.47,84.03,85.57,87.02,88.14,88.84,89.84,90.95,92.27,93.57,93.57,93.57,93.57,93.57,93.57,93.57,93.57,93.57,93.57
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-02-12,1108,101.49,0.09,231,37.13,45.64,50.47,53.11,55.7,57.8,59.86,60.49,61.24,61.96,62.64,63.48,64.35,65.14,65.79,66.33,66.9,67.43,67.86,68.43,68.75,69.65,70.3,70.3,70.3,70.3,70.3,70.3,70.3
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-02-14,1090,101.66,0.09,238,41.9,50.01,53.98,56.66,59.6,61.14,62.44,63.39,63.95,64.89,65.75,66.61,67.86,68.55,69.32,70.08,70.7,71.37,72.3,73.17,73.88,73.88,73.88,73.88,73.88,73.88,73.88,73.88,73.88
